,track,artist,tempo,danceability,acousticness,energy,decade,genre
0,Jealous Kind Of Fella,Garland Green,0.7690029533225915,0.417,0.49,0.62,60s,edm
1,Initials B.B.,Serge Gainsbourg,0.42167067760735305,0.498,0.018,0.505,60s,pop
2,Melody Twist,Lord Melody,0.4802359344387237,0.657,0.846,0.649,60s,pop
3,Mi Bomba Sonó,Celia Cruz,0.43737340684193304,0.59,0.706,0.545,60s,pop
4,Uravu Solla,P. Susheela,0.4747559263201932,0.515,0.857,0.765,60s,r&b
5,Beat n. 3,Ennio Morricone,0.4644006577666585,0.697,0.714,0.673,60s,pop
6,Samba De Uma Nota So (One Note Samba),Antônio Carlos Jobim,0.5944214097248398,0.662,0.36,0.272,60s,pop
7,Happy Days,Marv Johnson,0.4970487484622426,0.72,0.795,0.624,60s,pop
8,Carolina - Remastered 2006,Caetano Veloso,0.48969236568181157,0.545,0.582,0.22,60s,pop
9,I Can Hear Music,The Beach Boys,0.5315814980345701,0.511,0.0385,0.603,60s,pop
10,"The Aftermath (From """"Stagecoach"""")",Jerry Goldsmith,0.5177054381728335,0.491,0.826,0.0675,60s,pop
11,Ride Away,Roy Orbison,0.49825410172187407,0.52,0.786,0.411,60s,pop
12,Caboclo Nordestino,Luiz Gonzaga,0.417346317459397,0.717,0.451,0.565,60s,pop
13,P.T. 109,Jimmy Dean,0.38945750819101743,0.746,0.543,0.666,60s,pop
14,Bye Bye Baby,Mary Wells,0.5172456642490566,0.598,0.832,0.448,60s,pop
15,A Festa dos Seus 15 Anos,Leño,0.342254052016585,0.521,0.576,0.396,60s,pop
16,My Empty Arms,Jackie Wilson,0.3081727921531917,0.356,0.924,0.45,60s,rock
17,Alfômega - Remastered 2006,Caetano Veloso,0.5113265927438562,0.493,0.041,0.666,60s,r&b
18,"Parsifal: """"Wehevolles Erbe, dem ich verfallen""""",Staatskapelle Berlin,0.3104095301607552,0.147,0.964,0.246,60s,rock
19,Let The Good Times Roll,Shirley & Lee,0.5839874411302982,0.502,0.481,0.445,60s,pop
20,I'm Here To Get My Baby Out Of Jail,The Everly Brothers,0.530260165767139,0.48,0.78,0.225,60s,pop
21,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,0.4171972015922261,0.604,0.0311,0.357,60s,pop
22,"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",Traditional,0.3481358445549927,0.213,0.982,0.0581,60s,rock
23,Montague Terrace (In Blue),Scott Walker,0.5707285552743525,0.427,0.549,0.14,60s,pop
24,"Madama Butterfly, Act II: Or vienmi ad adornar (Suzuki, Butterfly)",Giacomo Puccini,0.4384255021269722,0.26,0.979,0.0248,60s,rock
25,Mother-In-Law,Ernie K-Doe,0.5393603757719853,0.81,0.77,0.524,60s,pop
