,track1,artist1,track2,artist2,euclidean
0,Love II Love,Damage,Darkness and Death,Watain,0.5818705451404691
1,Love II Love,Damage,Gold,Ton Steine Scherben,0.2526742141081663
2,Love II Love,Damage,El Privilegio De Amar,Mijares,0.8088211748204956
3,Love II Love,Damage,Jean,Robin Spielberg,1.0632469120863455
4,Love II Love,Damage,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 """"Moonlight"""": I. Adagio sostenuto",Ludwig van Beethoven,1.3123485518047153
5,Love II Love,Damage,The Way You Love Me,Karyn White,0.1069161848130989
6,Love II Love,Damage,Do I Do,Stevie Wonder,0.2073493037292617
7,Love II Love,Damage,Risky,DaVido,0.16751697271690216
8,Love II Love,Damage,One Step Closer,Linkin Park,0.42918528372671855
9,Love II Love,Damage,Can You Handle It?,Graham Central Station,0.18629060308062517
10,Love II Love,Damage,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,0.4073590864018051
11,Love II Love,Damage,Back At One,Brian McKnight,0.539545651377079
12,Love II Love,Damage,Anglaise,Trio Mio,1.1193054070715205
13,Love II Love,Damage,You Keep Running Away,Four Tops,0.3207937582046954
14,Love II Love,Damage,Studio di colori,Ennio Morricone,1.1013535849601894
15,Love II Love,Damage,Burial Ground,Immolation,0.6056013527977971
16,Love II Love,Damage,"Run, Run, Run",The Third Rail,0.7697930996434568
17,Love II Love,Damage,Sola Con Mi Soledad,Marisela,0.6522205618794215
18,Love II Love,Damage,Come Home Soon,SHeDAISY,0.7366389823389075
19,Love II Love,Damage,That Other Woman,Changing Faces,0.29233157060315473
20,Love II Love,Damage,Willkommen,Joel Grey,0.8221996377966114
21,Love II Love,Damage,Caboose,Snapcase,0.4745010434717033
22,Love II Love,Damage,Hot Thoughts,Spoon,0.25762166415840965
23,Love II Love,Damage,Out Of Sight (YO),Rufus Blaq,0.15613380114612313
24,Love II Love,Damage,Someday Never Comes,Creedence Clearwater Revival,0.3775759284123337
25,Love II Love,Damage,Des ronds dans l'eau - Remasterisé en 2016,Françoise Hardy,0.8729703471017707
26,Love II Love,Damage,E-Musik,NEU!,0.4313944617715221
27,Love II Love,Damage,Departure Suicide,Taetre,0.7759373241091283
28,Love II Love,Damage,Servants of Metal,Stormwarrior,0.6814186181257109
29,Love II Love,Damage,Até Quem Sabe,Gal Costa,1.1443554618474332
30,Love II Love,Damage,Speak To A Girl,Tim McGraw & Faith Hill,0.7154916326044196
31,Love II Love,Damage,Dominion / Mother Russia,Sisters of Mercy,0.34076248067292786
32,Love II Love,Damage,Blue Jean,David Bowie,0.3184771833553241
33,Love II Love,Damage,Souvenirs,Gabelo,0.5810398014906814
34,Love II Love,Damage,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",0.21126668560776865
35,Love II Love,Damage,Big Girls Don't Cry,Fergie,0.1757989849547605
36,Love II Love,Damage,A Woman's Love,Alan Jackson,0.5450225208441679
37,Love II Love,Damage,Mensajes de Amor de Curso Legal,Joan Manuel Serrat,0.5294426768966084
38,Love II Love,Damage,Datos,Metal y Ca.,0.3985521251260689
39,Love II Love,Damage,Nothin',N.O.R.E.,0.2977290893037728
40,Love II Love,Damage,Samba De Quena,Dutch Swing College Band,0.5300093423606497
41,Love II Love,Damage,Night Time,The xx,0.5437397700603821
42,Love II Love,Damage,Pommitus,Sotajumala,0.5787472370184895
43,Love II Love,Damage,Buen Rock Esta Noche - Good Rockin' Tonight,Los Teen Tops,0.4354860040018363
44,Love II Love,Damage,A Dance With Aera Cura,Miss May I,0.41096711227151667
45,Love II Love,Damage,Out in the Dark,The Lurkers,0.43917783598407584
46,Love II Love,Damage,Tijuana Taxi,Herb Alpert & The Tijuana Brass,0.547426884005177
47,Love II Love,Damage,Spirits In The Material World,The Police,0.2694211805516823
48,Love II Love,Damage,Undercover Angel,Alan O'Day,0.31699136980035014
49,Love II Love,Damage,Hero,Chad Kroeger Featuring Josey Scott,0.4650503296937487
50,Love II Love,Damage,I Surrender,Fontella Bass,0.6873026526873007
51,Love II Love,Damage,Song Of Joy - 50 Aniversario Remaster,Miguel Rios,0.6893447274799244
52,Love II Love,Damage,Tudo O Que Você Podia Ser,Milton Nascimento,0.45513282224898327
