,track,artist,tempo,danceability,acousticness,energy,decade,genre
24158,Love II Love,Damage,0.40182998305878065,0.803,0.0801,0.684,90s,r&b
29449,Darkness and Death,Watain,0.461273366663491,0.254,1.37e-05,0.849,00s,rock
20906,Gold,Ton Steine Scherben,0.5565666900005385,0.691,0.196,0.802,80s,r&b
28509,El Privilegio De Amar,Mijares,0.7627483711162566,0.515,0.692,0.426,90s,edm
31213,Jean,Robin Spielberg,0.38498403217589044,0.522,0.959,0.156,00s,r&b
24514,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 """"Moonlight"""": I. Adagio sostenuto",Ludwig van Beethoven,0.2954275276175012,0.164,0.995,0.00167,90s,rock
18612,The Way You Love Me,Karyn White,0.4352195109827978,0.797,0.0712,0.785,80s,r&b
21141,Do I Do,Stevie Wonder,0.4855254056158692,0.849,0.0842,0.5,80s,r&b
36650,Risky,DaVido,0.5240221519904897,0.714,0.15,0.702,10s,rap
30471,One Step Closer,Linkin Park,0.3940635316436296,0.492,0.0014,0.969,00s,latin
14769,Can You Handle It?,Graham Central Station,0.4197570239786598,0.645,0.111,0.776,70s,r&b
40658,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,0.7120986815672078,0.57,0.0125,0.58,10s,edm
25788,Back At One,Brian McKnight,0.5374467221432921,0.661,0.452,0.346,90s,r&b
29152,Anglaise,Trio Mio,0.38513314804306137,0.383,0.976,0.161,00s,r&b
7196,You Keep Running Away,Four Tops,0.40739283332573945,0.544,0.0714,0.873,60s,latin
15810,Studio di colori,Ennio Morricone,0.5796340862303924,0.428,0.911,0.0921,70s,pop
39116,Burial Ground,Immolation,0.5844182203021253,0.264,2.17e-05,0.875,10s,rock
5838,"Run, Run, Run",The Third Rail,0.5528180827841589,0.486,0.735,0.483,60s,pop
20156,Sola Con Mi Soledad,Marisela,0.44218653566561594,0.805,0.615,0.313,80s,pop
32327,Come Home Soon,SHeDAISY,0.37993066112176554,0.433,0.658,0.417,00s,r&b
30970,That Other Woman,Changing Faces,0.5550838155436723,0.677,0.15,0.481,00s,r&b
16284,Willkommen,Joel Grey,0.3447683112213832,0.522,0.809,0.434,70s,rap
25261,Caboose,Snapcase,0.40711531212850477,0.424,6.06e-05,0.958,90s,latin
39391,Hot Thoughts,Spoon,0.45146899839700444,0.679,0.0484,0.902,10s,latin
26268,Out Of Sight (YO),Rufus Blaq,0.4017678514474594,0.871,0.0377,0.55,90s,rap
16267,Someday Never Comes,Creedence Clearwater Revival,0.567240900825522,0.69,0.036,0.367,70s,pop
8381,Des ronds dans l'eau - Remasterisé en 2016,Françoise Hardy,0.6012020395736943,0.285,0.705,0.432,60s,rock
11383,E-Musik,NEU!,0.6918769131358653,0.525,0.0737,0.841,70s,rap
39625,Departure Suicide,Taetre,0.760010438110702,0.164,3.23e-06,0.927,10s,rock
37996,Servants of Metal,Stormwarrior,0.3912096196302755,0.2,0.000347,0.991,10s,rock
10069,Até Quem Sabe,Gal Costa,0.5507760238254019,0.539,0.99,0.0597,70s,pop
36691,Speak To A Girl,Tim McGraw & Faith Hill,0.6284363958694904,0.466,0.641,0.504,10s,pop
22828,Dominion / Mother Russia,Sisters of Mercy,0.5014518086512055,0.613,0.00209,0.937,80s,r&b
22011,Blue Jean,David Bowie,0.5161397215675392,0.559,0.0401,0.849,80s,pop
21385,Souvenirs,Gabelo,0.5363076426024033,0.738,0.595,0.908,80s,r&b
38951,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",0.30238626808547653,0.822,0.0317,0.505,10s,pop
29530,Big Girls Don't Cry,Fergie,0.4683977914283229,0.708,0.205,0.641,00s,r&b
32339,A Woman's Love,Alan Jackson,0.5771363954552797,0.593,0.519,0.512,00s,r&b
827,Mensajes de Amor de Curso Legal,Joan Manuel Serrat,0.48421649967070246,0.611,0.495,0.43,60s,pop
17703,Datos,Metal y Ca.,0.6558902838586216,0.573,0.0255,0.88,80s,r&b
32428,Nothin',N.O.R.E.,0.4018548357033091,0.792,0.317,0.864,00s,r&b
16669,Samba De Quena,Dutch Swing College Band,0.43561301118783213,0.64,0.582,0.648,80s,pop
33918,Night Time,The xx,0.5053661001644417,0.68,0.509,0.391,00s,pop
33503,Pommitus,Sotajumala,0.6628158874672256,0.357,8.04e-06,0.932,00s,rock
33638,Buen Rock Esta Noche - Good Rockin' Tonight,Los Teen Tops,0.3936783156534382,0.418,0.187,0.857,00s,latin
30408,A Dance With Aera Cura,Miss May I,0.47639205875165164,0.549,8.46e-05,0.988,00s,latin
14384,Out in the Dark,The Lurkers,0.6258392945162641,0.5,0.0221,0.902,70s,latin
4803,Tijuana Taxi,Herb Alpert & The Tijuana Brass,0.418717355015885,0.776,0.615,0.572,60s,pop
18649,Spirits In The Material World,The Police,0.5863194476085543,0.833,0.273,0.663,80s,pop
12620,Undercover Angel,Alan O'Day,0.42714240151104077,0.672,0.321,0.527,70s,pop
29557,Hero,Chad Kroeger Featuring Josey Scott,0.6104927865199256,0.427,0.00216,0.843,00s,pop
1872,I Surrender,Fontella Bass,0.5197143602722193,0.698,0.749,0.69,60s,pop
12912,Song Of Joy - 50 Aniversario Remaster,Miguel Rios,0.359108287114318,0.189,0.11,0.375,70s,rock
10416,Tudo O Que Você Podia Ser,Milton Nascimento,0.39821392327988636,0.457,0.296,0.482,70s,pop
